id,author_username,author_location,author_description,author_created,author_followers,author_following,author_favourites,author_verified,date,text,retweets,likes,isRetweet
1714207528970830000.00,GabrielEckstein,"Texas, USA","Law Prof at @TAMULawSchool, Former Pres of @IWRA_water, interested in all things water",Wed Dec 14 21:14:43 +0000 2011,1753,745,2574,FALSE,Tue Oct 17 09:11:37 +0000 2023,"Ghana: Akosombo Dam Spillage - 7 Districts Hit By Floods ...Farmlands, Houses, Other Properties Affected in Greater Accra, Eastern, Volta Regions https://t.co/otrZpbyTC8 https://t.co/q6qMolxLuS",0,0,FALSE
1713145396917120000.00,CanoeGear,"CM-0100-2629, Abandze, C/R","Canoe and Gear Owners in Ghana | Artisanal Fisheries || Sustainable Fisheries || Marine Environment | Resilient Fishing Communities
Email: canoeowners@gmail.com",Tue May 25 02:12:49 +0000 2021,409,71,462,FALSE,Sat Oct 14 10:51:05 +0000 2023,"Our hearts are with flood victims in communities affected by the spillage.
We call for timely humanitarian aid

Akosombo Dam spillage: 7 districts hit by floods …farmlands, houses, other properties affected in Greater Accra, Eastern, Volta regions https://t.co/yIoHuKgGFa",1,2,FALSE
1713124059205020000.00,jnbawole,"Accra, Ghana",Professor of Public Administration & Management and Dean at University of Ghana Business School. Passionate about mentoring next generation of researchers,Wed Aug 25 10:55:37 +0000 2010,8118,1342,606,FALSE,Sat Oct 14 09:26:18 +0000 2023,"I stand with flood victims in parts of Greater Accra, Eastern and Volta regions! Take action, Government!! 

Akosombo Dam spillage: 7 districts hit by floods …farmlands, houses, other properties affected in Greater Accra, Eastern, Volta regions https://t.co/rWQMDsIPUT",1,9,FALSE
1712717324992620000.00,Ghanaian_Times,"South Industrial Area, Accra","Most Authoritative Newspaper, Published by New Times Corporation.


Retweets & Likes are not endorsements.",Mon Dec 05 18:17:00 +0000 2016,41372,82,627,FALSE,Fri Oct 13 06:30:05 +0000 2023,"Akosombo Dam spillage: 7 districts hit by floods …farmlands, houses,  other properties affected in Greater Accra, Eastern, Volta regions
https://t.co/MzirdAvL76
#LionelMessi #Argentina #Otabil #Neymar #Brazil #Ghana #Isreal #KenShowsWorking #Egypt #Osimhen",0,1,FALSE
1706424177136150000.00,WhoKiko,,Photo + Video photobykiko@gmail.com,Sun Dec 19 10:37:32 +0000 2021,610,587,92079,FALSE,Mon Sep 25 21:43:22 +0000 2023,"@darklaverne •A huge tree branch fell on the road n destroyed 2 cars at airport residential area right opposite ilona restaurant,
•that bridge in the remote part somewhere in Ghana broke off, 
•the Bole mosque caved in,
•the floods all around the greater Accra region were more excessive",0,0,FALSE
1706005282504010000.00,azusisme,Ashanti Region-Ghana,"CEO of Azusime Group of Companies|| Business Consultant|| A responsible husband, father|| fan of @Chelsea FC|| Proud Traditionalist|| Political Activist NDC.",Wed Sep 06 06:58:23 +0000 2023,115,273,4831,FALSE,Sun Sep 24 17:58:50 +0000 2023,"Akuffo Addo refused to visit the people that was affected and wash away by flood in the Savannah Region, North East Region, Volta Region, Western Region, Ashanti Region and some parts Greater Accra.

That's how wicked he is",0,0,FALSE
1705544781168870000.00,KadaAgyiri,"TEMA,Ghana","Web and software developer|
Engineer| Entrepreneur| CEO
 - @kadablak|
Youtube - Alex Agyiri| 

https://t.co/tRlr656vja @officialjwaso",Sat Oct 06 06:25:51 +0000 2012,871,719,1145,FALSE,Sat Sep 23 11:28:57 +0000 2023,"I realized most ministers and govt officials havent posted on their X accounts since two days ago… see flooding yesterday, almost the whole Greater Accra received some form of flood from two hours of rain, like e rain 4 hours di33 like we all go climb trees…",0,1,FALSE
1320000000000000000.00,Citi973,"Accra, Ghana",Citi 97.3FM | Relevant Radio... Always! | Retweets ≠ Endorsement || Email: info@citifmonline.com || WhatsApp: +233549986996 || Call: 0302-230075/0302-224959,Thu Jan 14 17:22:06 +0000 2010,1693828,508,1037,TRUE,Mon Oct 12 08:28:22 +0000 2020,"🎥

Some flooding from the Association traffic light to Shangrila in Accra #CitiCBS https://t.co/z3eTgaU9sY",6,26,FALSE
1320000000000000000.00,Citi973,"Accra, Ghana",Citi 97.3FM | Relevant Radio... Always! | Retweets ≠ Endorsement || Email: info@citifmonline.com || WhatsApp: +233549986996 || Call: 0302-230075/0302-224959,Thu Jan 14 17:22:06 +0000 2010,1693828,508,1037,TRUE,Mon Oct 12 08:23:28 +0000 2020,"🎥

Ritz Junction was not spared from flooding over the weekend, after the rains #CitiCBS https://t.co/MagFE99TzP",3,16,FALSE
1320000000000000000.00,ghonetv,"Accra, Ghana","Informative Entertainment, News & Trends!
Official X Handle of GHOne TV.",Sat Oct 01 11:57:38 +0000 2011,1596773,15,16603,TRUE,Mon Oct 12 21:04:26 +0000 2020,"FLOODING — What is happening in Accra is unacceptable but there are other places too. — Prof. Naana Jane Opoku-Agyemang

#ElectionHub",9,98,FALSE
1270000000000000000.00,blackbeltbentum,Tema,"Knowledge is like underwear. It is useful to have it, but not necessary to show it off. ... @Bucks @manchester United @takashiegang @NBA #toyota # Honda",Fri Jun 22 18:31:22 +0000 2012,2784,1772,8426,FALSE,Wed Jun 10 10:01:39 +0000 2020,Are we still on this issue of flooding and NADMO?,0,3,FALSE
1320000000000000000.00,ghonetv,"Accra, Ghana","Informative Entertainment, News & Trends!
Official X Handle of GHOne TV.",Sat Oct 01 11:57:38 +0000 2011,1596773,15,16603,TRUE,Mon Oct 12 10:34:54 +0000 2020,"For the umpteenth time, parts of Accra have been submerged following heavy rains on Saturday and Sunday. How do you think this perennial flooding should be handled? 

What do you suggest be done by authorities in charge?

#GHOneNews 
#ElectionHub",2,31,FALSE
1320000000000000000.00,Call_me_jewelz,"Hartford, CT",30+ twitter. I delete tweets a lot…. On the cold streets of Connecticut ❄️,Mon Oct 04 13:26:02 +0000 2010,3530,1732,2167,FALSE,Thu Oct 29 07:41:32 +0000 2020,We keep asking these same question every time there is flooding yet nothing has been done about it.. I taya Ghana saf,1,1,FALSE
1320000000000000000.00,abenaa_23,"Accra, Ghana",Florist • Gift Concierge • Compliance Consultant• Sneaker Head• Potter Head • @CupidsBasket,Sat Jan 25 20:31:39 +0000 2020,1072,410,45603,FALSE,Wed Oct 28 19:24:42 +0000 2020,The campaign cars were making noise in my area today. I almost went to tell them that roads are flooding but they’re disturbing us,0,0,FALSE
1320000000000000000.00,adjoaansaa,"Greater Accra, Ghana",An ardent book lover who’s a big advocate on Community Development especially Quality Education. I’m obsessed with home organization and everything aesthetic.,Thu Jul 31 11:41:50 +0000 2014,649,788,49945,FALSE,Sun Oct 11 10:44:49 +0000 2020,"Apart from the poor drainage systems being one of the main causes of flooding, our littering habit has caused most of the few existing drains in the country to become chocked. Littering can stop if the offence is punishable by law. #AccraFloods",2,4,FALSE
1320000000000000000.00,ghonetv,"Accra, Ghana","Informative Entertainment, News & Trends!
Official X Handle of GHOne TV.",Sat Oct 01 11:57:38 +0000 2011,1596773,15,16603,TRUE,Mon Oct 12 21:06:46 +0000 2020,"FLOODING: Somethings must start and continue. When @JDMahama's brother used his machines to dredge the lagoons, what happened?  — Prof. Naana Jane Opoku-Agyemang 

#ElectionHub",7,117,FALSE
1320000000000000000.00,julsdereal,"Greater Accra, Ghana","||PROUD MILLENNIAL|| || OLD SCHOOL MUSIC||
||CHELSEA FC WOMEN & BAY FC||
||WOMEN FOOTBALL||
To a Fool Life Is Just A Game, To The Wise It Is An Opportunity",Wed Sep 24 14:33:03 +0000 2014,1168,827,47020,FALSE,Mon Oct 12 09:17:35 +0000 2020,"I can bet you no one is... The weekend flooding wasn't the first time..... If nothing happened in the past, I don't see anything happening now.....",0,0,FALSE
1330000000000000000.00,Call_me_jewelz,"Hartford, CT",30+ twitter. I delete tweets a lot…. On the cold streets of Connecticut ❄️,Mon Oct 04 13:26:02 +0000 2010,3530,1732,2167,FALSE,Thu Nov 12 08:13:19 +0000 2020,Hi @NAkufoAddo @konkrumah . This side of the motorway is a death trap especially when it rains. We pay a lot of tolls on this road yet no major upgrade happens. Would appreciate if you can get a contractor to start working on it Asap. Thank you https://t.co/hocEaRUaum,574,407,FALSE
1340000000000000000.00,AmeyawDebrah,Ghana,I am entertainment & lifestyle! #blogger #Socialmedia #influencer  Funny Guy. #Traveller #Creator: @ameyawtv For bookings contact ads@ameyawdebrah.com #ameyawtv,Tue Mar 31 20:29:23 +0000 2009,1746872,14465,207531,TRUE,Wed Dec 16 16:10:07 +0000 2020,Nowadays the rains on Accra been doing shakara,19,1094,FALSE
1330000000000000000.00,thenanaaba,Earth,"Better a witty fool than a foolish wit - Shakespeare ||Media, MUFC, Oly, NBA ||Astronomy ||RTs are endorsements ||When you come at me, you best not miss",Mon Jan 09 06:32:04 +0000 2012,2257595,266,871,TRUE,Sat Nov 07 12:51:56 +0000 2020,"When it rains, it pours...",12,924,FALSE
1310000000000000000.00,trigmaticrocks,Ghana-Accra,Sophia Video Out Now | officialtrigmatic@gmail.com,Mon May 18 14:04:31 +0000 2009,341459,1515,15049,FALSE,Sat Oct 10 09:24:18 +0000 2020,"So there’s this spot on the Accra - kasoa road which always collects so much water that cars are unable to move. Forcing drivers to create their own lane on the other side of the road . My issue is, authorities see this over and over anytime it rains yet do nothing about it",111,494,FALSE
1310000000000000000.00,Eafriyie_owusu,"Accra ,Ghana",Entrepreneur/Computer Engineer/Innovator/Investor,Tue Dec 01 21:19:10 +0000 2015,1207,1430,9369,FALSE,Thu Sep 17 15:41:24 +0000 2020,It's all about creativity until the rains start https://t.co/ZLjHZXJpbW,2,5,FALSE
1310000000000000000.00,MrGenesix,Earth,ENERGY 🌍,Sat Oct 06 13:41:25 +0000 2012,3362,1272,26405,FALSE,Sat Oct 10 12:38:20 +0000 2020,"The rains are here again, pls Trust your weather report and weather apps, avoid some areas as possible. 
#AccraWeDey #ShutItAllDown https://t.co/ZojVLPSoH7",5,12,FALSE
1310000000000000000.00,iyke_svo,,In God I Trust,Thu Oct 17 08:54:48 +0000 2013,761,604,13963,FALSE,Sat Oct 10 11:09:59 +0000 2020,"Young ones, make nobody lie you to acquire land at just anywhere because it’s cheap. As the rains dey fall, you hear say cantonment flood?",3,10,FALSE
1320000000000000000.00,IzaicKumy,Dansoman,"6’7ft, PROCESS ENGINEER. |TINTECH |(contact me for all ur iphone needs, from its accesories to the phone itself at cool prices| (0266380753, 0248728453)",Wed Jul 11 11:54:12 +0000 2012,6606,5821,22768,FALSE,Sun Oct 11 05:00:29 +0000 2020,Hmm these rains again ..what the homeless go do since Yestee night 🤦🏾‍♂️,2,14,FALSE
1310000000000000000.00,AGBLOLARYEA,ACCRA GHANA,"GOD_FIRST, #PHOBIA #LFC ❤️ & SM4LYF 🔥💯",Thu Oct 14 18:14:06 +0000 2010,1266,3637,33280,FALSE,Sat Oct 10 08:32:31 +0000 2020,Accra ☔️ Rains hmm. God please safe guard the homeless. 🙏🏾,2,5,FALSE
1310000000000000000.00,adwoaloudgh,,MPA 🎓 JOURNALIST📚EVENTS PLANNER💎 TRAVEL ENTHUSIAST ✈️ MC🎤. #MUSIC #FASHION #TRAVEL #ASHANTI. adwofa@gmail.com.,Fri Oct 14 13:40:08 +0000 2011,6410,726,8050,FALSE,Fri Oct 09 00:43:26 +0000 2020,"No be small rain edey come rain for this Accra na agradaa wei de3. Dear Lord, remember the homeless and the flood prone areas 🙏🏿🙏🏿",0,2,FALSE
1310000000000000000.00,ComedianWaris,"Accra, Ghana","Multiple Award-Winning Comedian, Actor, Standup comedian, Content Creator, Philanthropist Bookings: booking@comedianwaris.com 0241901080",Mon May 30 10:37:22 +0000 2016,162355,2155,104425,FALSE,Sat Oct 10 09:30:23 +0000 2020,"I won’t be surprised when I order Uber and boat comes to pick me up 

This flood dirrr charley 😹😹😹",16,144,FALSE
1310000000000000000.00,MantseBiAgo,The Sun on its Meridian ,The Abromsial Rills of Antiquity’s Pride|| @dlmu_china alumnus,Wed Aug 14 07:05:08 +0000 2013,12343,1602,15616,FALSE,Sat Oct 10 13:59:02 +0000 2020,"If the Transportation system in Accra is planned well, there would be no floods. 
It's not too late, we can still do it.",15,46,FALSE
1310000000000000000.00,ThoughtPillow,Manchester United," This account is ran by multiple personalities  || Carpe Diem, Sapere Aude || 𝕏",Sat Mar 05 10:56:51 +0000 2016,110814,6266,11307,TRUE,Tue Oct 06 19:06:51 +0000 2020,Flood 😞,6,19,FALSE
1310000000000000000.00,iyke_svo,,In God I Trust,Thu Oct 17 08:54:48 +0000 2013,761,604,13963,FALSE,Sat Oct 10 11:09:59 +0000 2020,"Young ones, make nobody lie you to acquire land at just anywhere because it’s cheap. As the rains dey fall, you hear say cantonment flood?",3,10,FALSE
1270000000000000000.00,PlasticPunchGH,"Accra, Ghana","Plastic Punch is an #NGO raising awareness about the dangers of plastic to the environment, wildlife and humans, as well as providing innovative solutions.",Tue Feb 06 18:52:47 +0000 2018,1722,1397,4713,FALSE,Wed Jun 10 13:44:31 +0000 2020,"Impressions after heavy rainfall with plastic waste floating after early Tuesday morning flood in parts of Accra

Who is supposed to be most responsible?

1. Citizens dumping into the drains and open environment with the excuse of poor waste management systems or ignorance 🤷🏾‍♂️ 1/3 https://t.co/IXIRDdk9ip",8,17,FALSE
1320000000000000000.00,Kojoanan,"Accra, Ghana",,Tue May 19 17:18:28 +0000 2009,20617,254,65,FALSE,Sun Oct 11 18:37:38 +0000 2020,"No Lessons Learned
[an ode to Accra’s floods]
9 October 2017
 
“Never Again!” this nation cried,
“To the memory of those who died,
O June 3, let it not be said that we lied:
Let’s find the truth that we must not hide.”",16,45,FALSE
1310000000000000000.00,ghonetv,"Accra, Ghana","Informative Entertainment, News & Trends!
Official X Handle of GHOne TV.",Sat Oct 01 11:57:38 +0000 2011,1596773,15,16603,TRUE,Sat Oct 10 16:29:40 +0000 2020,"Parts of Adabraka flood after Saturday’s downpour. More on NEWS TONIGHT at 6:30 on @GHOneTV 

#GHOneNews https://t.co/IRyoMvwMY9",21,146,FALSE
1320000000000000000.00,AbenaTwumwaa_,"Tema, Ghana",A gift from God.😊...please follow my business page @denim__styleup and buy from me.🙈🙏🏽 IG:@denim_styleup or dm me when you find something you want to buy.,Thu Mar 23 09:50:44 +0000 2017,3414,1365,145022,FALSE,Mon Oct 26 08:19:19 +0000 2020,Flood me some pics on WhatsApp babes.😍😍😍,3,4,FALSE
1310000000000000000.00,FoodsHut,"Accra, Ghana",Producers of Ghana’s first packaged Palmnut pulp. Agric food processing & packaging company of authentic palm based products & indigenous spices from Africa.,Tue Jul 02 20:51:15 +0000 2019,26,40,157,FALSE,Sat Oct 10 07:24:09 +0000 2020,"Kitchen Hut Foods was birthed purely out of need for authentic Palmnut soup for nursing mothers &amp; the need for convenience in cooking original ghana Palmnut soup. 

Do you want to risk your life wading through the floods to our muddy markets?

Live the Ez life with Ez Palmnut https://t.co/s6NlBnP633",0,1,FALSE
1320000000000000000.00,iamarabaaidoo,,|| Award-winning Broadcast Journalist with @GHOneTv Researcher || investigator || Public Relations || communications strategist || Event MC,Sat May 17 14:47:21 +0000 2014,659,463,469,FALSE,Sun Oct 11 20:30:09 +0000 2020,"Accra submerges again as many residents are left stranded while others have lost their belongings to the floods in many parts of city.
- Is the solutions to the seasonal havocs by the rains beyond us?
Send us your comments with #GHToday @GHOneTV https://t.co/XpmCuLEoWN",0,2,FALSE
1320000000000000000.00,HAPPY989FM,Ghana,"Official Twitter account for your No.1 Station, Happy 98.9 FM - Anigye Nkoaa! 
Like & Retweet ≠ Endorsement",Thu Jan 15 14:49:22 +0000 2015,21507,2128,23727,TRUE,Fri Oct 16 06:08:59 +0000 2020,"The Daily Statesman:

📌 No more utility fees for Tertiary students

📌NADMO: Bagre Dam spillage 'aided' recent  Accra floods.

#HappyHMS
#eTVGhana
#GMABCElectionCamp https://t.co/gMBb6VAz4b",3,7,FALSE
1330000000000000000.00,PlasticPunchGH,"Accra, Ghana","Plastic Punch is an #NGO raising awareness about the dangers of plastic to the environment, wildlife and humans, as well as providing innovative solutions.",Tue Feb 06 18:52:47 +0000 2018,1722,1397,4713,FALSE,Wed Nov 18 11:43:28 +0000 2020,"Ghana's capital, Accra, is plagued by frequent floods despite a raft of promises from politicians to fix it.

Some Ghanaians say the issue will be a key factor on how they will vote in the December 7 general election.

@stacey_knott_  reports for @VOANews.
#Climateaction 🇬🇭🅿️🤛 https://t.co/mZJbpyvXaH",5,5,FALSE
1310000000000000000.00,tiki_ba,"Accra, Ghana",DECEMBER MONEY IS ALL PACKAGED HERE SAY1 BULLION!🤯 PROUDLY BORN IN AFRICA 🇬🇭🇳🇬🇿🇦. Ghanaian Punter,Tue Nov 27 22:29:02 +0000 2018,12178,8276,27403,FALSE,Sat Oct 10 17:05:15 +0000 2020,Where is @Scripp_T ?? 😂💔 did the flood affect him and his phone,0,6,FALSE
1230000000000000000.00,fredemart,Ghana,"Business Developer 😍
Sports Presenter/Analyst & Pundit Tv/Radio ⚽ CEO-@fmsportsgh #FMSportsgh #Arsenal",Thu Nov 11 18:54:22 +0000 2010,3515,2590,21273,FALSE,Tue Mar 03 13:01:17 +0000 2020,"Finally some rains in Accra and the same old stories will be told  on flood issues. 
We all know the flood zones in Ghana but what we are interested is the way out (direction) for vehicles and persons away from such areas @Joy997FM",0,0,FALSE
1310000000000000000.00,Serwaa_Amihere,"Accra, Ghana",Award-winning News Anchor and Producer with @GHOneTv & @Starr1035Fm Daddy Lumba’s lover //Asante Kotoko FC. Fashion brand @OfficeandCo__,Thu Sep 05 22:21:39 +0000 2013,1616746,540,1523,TRUE,Sat Oct 10 08:54:17 +0000 2020,Stay safe. The rains,48,1511,FALSE
1320000000000000000.00,_owula,In your mind,Time Will Tell⏳||psychologist 🧠||Investor💰||Fx & Crypto Trader📈📉||Santa13 🦓 ||Blue 💙||Bus Page @_smartfxgh|| snap: o-wula||IG: _owula||Fb: Owula Brown,Mon Mar 27 14:54:53 +0000 2017,17702,9978,169294,FALSE,Mon Oct 12 08:20:40 +0000 2020,Hon Lydia Seyram Alhassan together with the Ayawaso WEST Municipal Assembly ordered @johndumelo1 to stop dredging the gutters that causes huge floods in West Legon anytime it rains 4 months ago. Today the residents of Westlands are crying again for the same reasons. https://t.co/lyQHdIC7nx,21,111,FALSE
1270000000000000000.00,AmeyawDebrah,Ghana,I am entertainment & lifestyle! #blogger #Socialmedia #influencer  Funny Guy. #Traveller #Creator: @ameyawtv For bookings contact ads@ameyawdebrah.com #ameyawtv,Tue Mar 31 20:29:23 +0000 2009,1746872,14465,207531,TRUE,Sat Jun 13 12:02:39 +0000 2020,Chale the rains make my Saturday slow koraa https://t.co/eGhWjWyVqy,8,336,FALSE
1270000000000000000.00,AdoteyMichell,Accra ,SDGs 2030 | Ecotourism | Emergency Nurse | NGOs | Leadership | Advocacy | Climate Change | @manutdfc | Contact: adoteymichell@gmail.com,Wed Feb 20 09:10:50 +0000 2019,702,2153,16079,FALSE,Wed May 27 08:58:13 +0000 2020,The way FILTH has engulfed the capital de3 I guess another pandemic awaits Accra soon now that the rains are here with us. #CitiCBS #CitiNewsroom,5,20,FALSE
1250000000000000000.00,knw_kelvin,,"In ten years time, i am going to be on my maybach like june.",Sat May 19 16:47:16 +0000 2012,1270,1095,2679,FALSE,Sun Apr 26 09:41:41 +0000 2020,Anybody seen Noah’s ark.... these ain’t normal rains,2,0,FALSE
1320000000000000000.00,BFCollins_,"Accra, Ghana","Student Journalist, @Univers1057fm. Mental Health advocate @OYMHFoundation. UN MCN graduate. Aviation enthusiast",Sat Aug 17 16:30:13 +0000 2019,1262,1479,44053,FALSE,Tue Oct 27 08:08:48 +0000 2020,@Joy997FM This is also same ashongman estate. This is the road from curve to Madina. You have no idea how terrible it is when it rains. The whole area becomes flooding #JoySMS https://t.co/Q2GMCOY6fn,4,13,FALSE
1320000000000000000.00,Empress_neeta,,Music Lover. A&R. Content Creator. Publicist,Thu Mar 12 07:56:35 +0000 2015,13589,349,5165,FALSE,Mon Nov 02 06:32:28 +0000 2020,"Monday morning and the rains have started, we'll come to work wai",0,12,FALSE
1330000000000000000.00,fredemart,Ghana,"Business Developer 😍
Sports Presenter/Analyst & Pundit Tv/Radio ⚽ CEO-@fmsportsgh #FMSportsgh #Arsenal",Thu Nov 11 18:54:22 +0000 2010,3515,2590,21273,FALSE,Sun Nov 22 14:15:15 +0000 2020,"And the rains came
It fell, heavily",1,3,FALSE
1330000000000000000.00,fredemart,Ghana,"Business Developer 😍
Sports Presenter/Analyst & Pundit Tv/Radio ⚽ CEO-@fmsportsgh #FMSportsgh #Arsenal",Thu Nov 11 18:54:22 +0000 2010,3515,2590,21273,FALSE,Fri Dec 04 20:14:38 +0000 2020,"Too much heat, I just we could get some rains",1,3,FALSE
1320000000000000000.00,BFCollins_,"Accra, Ghana","Student Journalist, @Univers1057fm. Mental Health advocate @OYMHFoundation. UN MCN graduate. Aviation enthusiast",Sat Aug 17 16:30:13 +0000 2019,1262,1479,44053,FALSE,Tue Oct 27 08:07:26 +0000 2020,@Joy997FM This area is a construction site that a wall collapsed to kill 4 people. Ashongman Estate. Authorities have left it like that since that unfortunate incident happened. When it rains for just a minute it is difficult for we that leave around this area. #JoySMS https://t.co/rBcBtlL26B,4,8,FALSE
1300000000000000000.00,__W3llington,"Greater Accra, Ghana",,Thu Mar 16 21:08:08 +0000 2017,485,436,5603,FALSE,Sat Sep 12 19:24:01 +0000 2020,Rains hitting the floor,0,1,FALSE
1320000000000000000.00,Citi973,"Accra, Ghana",Citi 97.3FM | Relevant Radio... Always! | Retweets ≠ Endorsement || Email: info@citifmonline.com || WhatsApp: +233549986996 || Call: 0302-230075/0302-224959,Thu Jan 14 17:22:06 +0000 2010,1693828,508,1037,TRUE,Mon Oct 12 08:23:28 +0000 2020,"🎥

Ritz Junction was not spared from flooding over the weekend, after the rains #CitiCBS https://t.co/MagFE99TzP",3,16,FALSE
